F_dot,F_dot/P_info,F_dot/P_trap (conventional)
0.22035475338407,0.0505874680390236,0.395882435143905
0.220392353158113,0.0505939548832457,0.395841630861742
0.220430471929735,0.0506005312286067,0.3958002719351
0.220469116799044,0.0506071982983837,0.395758351013111
0.220508294961528,0.0506139573324437,0.395715860652672
0.220548013709283,0.0506208095871402,0.395672793317431
0.220588280432267,0.0506277563356151,0.395629141376766
0.220629102619556,0.0506347988682733,0.395584897104761
0.220670487860625,0.0506419384925841,0.395540052679164
0.220712443846643,0.0506491765334334,0.395494600180354
0.220754978371773,0.050656514333866,0.395448531590285
0.220798099334502,0.050663953254221,0.395401838791437
0.220841814738978,0.0506714946734573,0.395354513565748
0.220886132696362,0.0506791399887069,0.395306547593555
0.220931061426197,0.0506868906161021,0.395257932452511
0.220976609257799,0.0506947479900153,0.39520865961651
0.221022784631652,0.0507027135646529,0.395158720454598
0.221069596100832,0.0507107888128096,0.395108106229884
0.221117052332433,0.0507189752276905,0.395056808098436
0.221165162109029,0.0507272743217049,0.395004817108183
0.221213934330129,0.0507356876276316,0.394952124197802
0.221263378013669,0.0507442166985362,0.394898720195606
0.221313502297509,0.0507528631080865,0.394844595818423
0.221364316440953,0.0507616284508827,0.394789741670471
0.22141582982628,0.0507705143426442,0.394734148242227
0.221468051960298,0.0507795224204099,0.394677805909299
0.221520992475917,0.0507886543431371,0.394620704931281
0.221574661133726,0.0507979117910598,0.394562835450612
0.22162906782361,0.0508072964675949,0.394504187491433
0.221684222566362,0.0508168100976714,0.394444750958432
0.221740135515328,0.0508264544298765,0.394384515635694
0.221796816958064,0.0508362312350185,0.394323471185541
0.221854277318013,0.050846142307781,0.394261607147375
0.221912527156198,0.0508561894664301,0.394198912936512
0.221971577172939,0.0508663745527152,0.394135377843022
0.222031438209578,0.0508766994334371,0.394070991030555
0.222092121250238,0.0508871659989606,0.394005741535177
0.222153637423583,0.0508977761650207,0.3939396182642
0.222215998004613,0.0509085318723766,0.393872609995004
0.222279214416467,0.0509194350872262,0.393804705373873
0.222343298232254,0.0509304878014616,0.393735892914813
0.222408261176891,0.0509416920331433,0.393666160998386
0.222474115128975,0.0509530498264523,0.393595497870533
0.222540872122664,0.0509645632523971,0.3935238916414
0.222608544349583,0.0509762344090122,0.393451330284169
0.222677144160746,0.0509880654217616,0.393377801633888
0.222746684068499,0.0510000584437921,0.3933032933863
0.222817176748487,0.0510122156560436,0.393227793096677
0.222888635041635,0.051024539268095,0.393151288178659
0.222961071956152,0.0510370315177981,0.393073765903088
0.223034500669556,0.051049694672545,0.392995213396858
0.223108934530717,0.0510625310287805,0.392915617641755
0.223184387061925,0.0510755429127887,0.392834965473313
0.22326087196097,0.0510887326811685,0.392753243579668
0.223338403103254,0.0511021027202441,0.392670438500422
0.223416994543914,0.0511156554482152,0.392586536625512
0.223496660519967,0.0511293933133726,0.392501524194082
0.223577415452487,0.0511433187963126,0.392415387293367
0.223659273948784,0.0511574344094747,0.392328111857585
0.223742250804621,0.0511717426970686,0.392239683666832
0.223826361006442,0.051186246236486,0.392150088345994
0.223911619733626,0.0512009476381064,0.392059311363661
0.22399804236076,0.0512158495455071,0.391967338031058
0.224085644459933,0.0512309546364185,0.391874153500982
0.224174441803053,0.0512462656224517,0.391779742766754
0.224264450364184,0.0512617852501176,0.391684090661183
0.224355686321903,0.051277516300798,0.391587181855541
0.224448166061685,0.0512934615912876,0.391489000858557
0.224541906178296,0.0513096239745538,0.391389532015419
0.224636923478226,0.0513260063392515,0.391288759506797
0.224733234982124,0.0513426116110889,0.391186667347882
0.224830857927271,0.0513594427525911,0.391083239387438
0.224929809770063,0.0513765027641635,0.390978459306874
0.225030108188519,0.0513937946837407,0.390872310619342
0.225131771084817,0.0514113215877305,0.390764776668842
0.225234816587838,0.0514290865914468,0.390655840629357
0.225339263055745,0.0514470928494015,0.390545485504008
0.225445129078575,0.0514653435556104,0.390433694124228
0.225552433480855,0.0514838419441265,0.390320449148965
0.225661195324238,0.0515025912901469,0.390205733063907
0.225771433910165,0.051521594908967,0.390089528180728
0.225883168782542,0.051540856158055,0.389971816636372
0.225996419730438,0.0515603784362531,0.389852580392352
